,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
0,82352.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10025,New York,New York County,-0.110484581,1.0,41.7,81.4,50.5,21.6,2.1,20.0,35.0,0.0,31.0,416.0,265.0,325.0,488.0,406.0,132.0,213.0,33.4,85.0
1,88708.0,NY,2,3,4,2,2,2,MA,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60657,Chicago,Cook County,0.0039817970000000005,2.0,31.2,102.2,24.6,14.3,1.89,2.0,31.0,0.0,48.0,104.0,927.0,333.0,720.0,491.0,182.0,213.0,34.2,28.0
2,123951.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10023,New York,New York County,-0.104369571,6.0,42.6,80.4,53.1,21.2,1.81,5.0,42.0,0.0,43.0,516.0,186.0,212.0,474.0,446.0,97.0,123.0,29.8,96.0
3,137600.0,TX,2,4,4,2,2,2,NJ,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77494,Katy,Harris County,0.02388974,1.0,34.8,97.2,68.5,57.3,3.24,8.0,41.0,0.0,20.0,385.0,1920.0,156.0,369.0,28.0,82.0,181.0,36.3,69.0
4,100116.0,NY,2,4,4,2,2,2,NY,Middle Atlantic,Middle Atlantic,East North Central,Chicago-Naperville-Elgin,IL,60614,Chicago,Cook County,0.007923560999999999,1.0,30.2,99.8,29.3,17.9,1.98,0.0,32.0,0.0,49.0,233.0,659.0,222.0,1006.0,473.0,219.0,263.0,30.8,54.0
5,52785.0,TX,2,2,1,1,1,1,NY,South Atlantic,East North Central,West South Central,El Paso,TX,79936,El Paso,El Paso County,0.066390041,2.0,31.2,97.2,56.2,43.1,3.21,31.0,48.0,0.0,18.0,64.0,110.0,31.0,30.0,11.0,0.0,16.0,22.2,12.0
6,72397.0,TX,2,2,2,2,1,1,PA,South Atlantic,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77449,Katy,Harris County,0.048710602,2.0,31.3,92.2,56.8,48.4,3.53,31.0,42.0,0.0,30.0,94.0,556.0,168.0,343.0,8.0,14.0,119.0,33.9,85.0
7,65617.0,TX,2,2,2,2,1,1,IL,South Atlantic,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77084,Houston,Harris County,0.091245376,1.0,33.0,101.5,54.2,43.3,3.09,41.0,66.0,34.0,30.0,0.0,535.0,72.0,52.0,115.0,0.0,50.0,33.0,63.0
8,35449.0,NY,2,1,2,2,0,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10002,New York,New York County,-0.039792388,0.0,41.8,94.8,51.0,20.5,2.27,28.0,45.0,9.0,36.0,131.0,199.0,10.0,390.0,143.0,8.0,64.0,32.6,229.0
9,35381.0,NY,2,1,1,2,0,1,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10467,New York,Bronx County,0.078614762,3.0,33.9,93.3,57.7,39.6,2.78,56.0,69.0,9.0,40.0,23.0,15.0,0.0,13.0,26.0,0.0,0.0,46.0,162.0
10,50488.0,NY,2,2,1,2,1,1,FL,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60640,Chicago,Cook County,-0.015320911,0.0,37.4,108.3,34.8,17.3,1.91,9.0,36.0,4.0,46.0,54.0,479.0,311.0,530.0,298.0,161.0,120.0,37.7,7.0
11,48495.0,NY,2,1,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11226,New York,Kings County,0.116507467,0.0,34.1,80.7,53.0,35.8,2.77,27.0,53.0,5.0,45.0,42.0,75.0,64.0,205.0,68.0,8.0,125.0,45.0,0.0
12,79979.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,Pacific,San Francisco-Oakland-Hayward,CA,94109,San Francisco,San Francisco County,0.005937575,2.0,36.9,111.5,27.8,6.6,1.66,1.0,22.0,0.0,23.0,248.0,300.0,343.0,472.0,152.0,90.0,246.0,30.2,26.0
13,109250.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10016,New York,New York County,-0.03881323,5.0,33.3,84.7,30.2,11.1,1.73,1.0,22.0,0.0,22.0,212.0,167.0,134.0,594.0,165.0,64.0,156.0,25.1,165.0
14,52816.0,MD,2,2,1,2,1,1,FL,South Atlantic,East North Central,East South Central,Nashville-Davidson--Murfreesboro--Franklin,TN,37013,Nashville,Davidson County,0.113386613,0.0,31.8,97.5,49.2,40.3,2.77,63.0,72.0,21.0,44.0,0.0,35.0,34.0,55.0,0.0,135.0,187.0,28.5,56.0
15,81693.0,TX,2,3,2,2,2,2,IL,Pacific,East North Central,West South Central,Austin-Round Rock,TX,78660,Pflugerville,Travis County,0.035138487,0.0,34.3,95.1,52.9,42.4,2.99,13.0,42.0,3.0,18.0,38.0,749.0,346.0,267.0,70.0,39.0,120.0,27.1,11.0
16,61313.0,FL,2,2,2,2,1,1,FL,Pacific,East North Central,South Atlantic,The Villages,FL,32162,The Villages,Sumter County,0.076954069,0.0,71.0,85.8,387.7,4.3,1.82,34.0,21.0,0.0,31.0,0.0,454.0,574.0,361.0,191.0,245.0,247.0,24.4,0.0
17,76467.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11375,New York,Queens County,0.030490956,4.0,41.9,85.7,61.6,30.7,2.23,17.0,79.0,0.0,78.0,23.0,155.0,64.0,445.0,216.0,116.0,81.0,43.0,117.0
18,49653.0,NY,2,1,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11235,New York,Kings County,-0.009981977,2.0,44.3,89.7,69.9,31.2,2.41,18.0,48.0,1.0,16.0,0.0,37.0,39.0,255.0,174.0,24.0,20.0,45.6,32.0
19,68223.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,East North Central,Chicago-Naperville-Elgin,IL,60647,Chicago,Cook County,0.027553938,0.0,31.6,100.6,37.0,27.6,2.54,28.0,52.0,23.0,38.0,38.0,601.0,330.0,852.0,323.0,248.0,161.0,32.6,31.0
20,49417.0,MD,2,1,2,2,1,1,CA,South Atlantic,Pacific,Pacific,Los Angeles-Long Beach-Anaheim,CA,90250,Hawthorne,Los Angeles County,0.08784676400000001,1.0,33.2,97.8,54.1,39.9,3.0,43.0,66.0,18.0,34.0,365.0,213.0,43.0,367.0,32.0,21.0,39.0,28.6,30.0
21,50209.0,MD,2,2,1,2,1,1,CA,South Atlantic,East North Central,East South Central,Nashville-Davidson--Murfreesboro--Franklin,TN,37211,Nashville,Davidson County,0.075517661,3.0,32.5,102.6,47.7,33.8,2.53,44.0,87.0,27.0,37.0,0.0,199.0,65.0,268.0,95.0,85.0,148.0,25.2,58.0
22,34015.0,NY,2,1,2,2,0,1,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10029,New York,New York County,-0.015090033,4.0,34.0,83.9,49.7,30.2,2.46,19.0,30.0,11.0,24.0,155.0,55.0,103.0,166.0,54.0,9.0,82.0,35.4,95.0
23,60521.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10009,New York,New York County,-0.043432574,1.0,36.8,83.4,35.1,15.1,2.0,15.0,24.0,0.0,20.0,390.0,384.0,107.0,223.0,46.0,48.0,116.0,31.6,76.0
24,66246.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,East North Central,Chicago-Naperville-Elgin,IL,60618,Chicago,Cook County,0.002803262,0.0,34.1,101.4,44.7,31.5,2.69,23.0,56.0,0.0,43.0,10.0,685.0,319.0,637.0,467.0,178.0,225.0,35.2,5.0
25,123208.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10011,New York,New York County,-0.062187769,3.0,39.8,104.9,34.3,12.9,1.71,9.0,25.0,0.0,36.0,321.0,237.0,93.0,626.0,445.0,118.0,112.0,25.5,0.0
26,103922.0,TX,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77573,League City,Galveston County,0.054708871,0.0,34.9,94.9,61.8,46.3,2.9,11.0,51.0,0.0,13.0,30.0,892.0,270.0,387.0,444.0,75.0,95.0,30.4,16.0
27,106162.0,TX,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77584,Pearland,Brazoria County,0.057109098,0.0,34.4,95.2,57.4,44.6,2.93,10.0,66.0,38.0,43.0,36.0,754.0,59.0,431.0,0.0,18.0,182.0,33.8,33.0
28,111937.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10128,New York,New York County,-0.011268539,0.0,38.7,72.7,49.1,23.0,1.97,10.0,43.0,0.0,40.0,213.0,224.0,95.0,695.0,410.0,325.0,528.0,34.1,44.0
29,82022.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,South Atlantic,Washington-Arlington-Alexandria,DC,20002,Washington,District of Columbia,0.077942821,1.0,33.7,92.0,32.6,20.5,2.27,22.0,53.0,13.0,57.0,70.0,274.0,260.0,255.0,229.0,173.0,181.0,30.0,9.0
30,60370.0,TX,2,2,2,2,1,1,FL,Pacific,East North Central,West South Central,San Antonio-New Braunfels,TX,78130,New Braunfels,Comal County,0.056959118,0.0,36.2,93.3,66.4,43.0,2.76,52.0,60.0,35.0,28.0,11.0,729.0,118.0,76.0,108.0,2.0,154.0,23.9,139.0
31,63097.0,NC,2,2,2,2,1,1,FL,South Atlantic,East North Central,South Atlantic,Charlotte-Concord-Gastonia,NC,28269,Charlotte,Mecklenburg County,0.08809891800000001,0.0,35.2,94.7,51.8,38.6,2.56,23.0,45.0,0.0,15.0,22.0,93.0,40.0,102.0,135.0,126.0,98.0,25.9,50.0
32,96857.0,TX,2,3,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Austin-Round Rock,TX,78613,Cedar Park,Williamson County,0.035410283,0.0,35.1,97.0,60.3,47.7,3.08,10.0,43.0,3.0,38.0,62.0,940.0,324.0,305.0,37.0,76.0,277.0,27.5,60.0
33,40705.0,FL,2,1,1,1,0,1,TN,Pacific,South Atlantic,West South Central,McAllen-Edinburg-Mission,TX,78572,Mission,Hidalgo County,0.064165844,3.0,33.5,96.2,85.4,58.1,3.24,28.0,66.0,23.0,49.0,0.0,89.0,84.0,18.0,0.0,0.0,12.0,19.6,53.0
34,62255.0,CA,2,2,2,2,1,1,CA,Pacific,Pacific,Pacific,San Francisco-Oakland-Hayward,CA,94565,Pittsburg,Contra Costa County,0.036027264,0.0,34.1,97.1,56.9,40.6,3.33,44.0,62.0,12.0,34.0,716.0,101.0,97.0,158.0,45.0,0.0,44.0,41.0,84.0
35,57863.0,TX,2,2,1,2,1,1,OH,South Atlantic,East North Central,West South Central,El Paso,TX,79912,El Paso,El Paso County,0.028337875,0.0,33.6,96.6,62.2,43.7,2.83,50.0,55.0,28.0,23.0,13.0,257.0,153.0,126.0,47.0,61.0,38.0,23.2,94.0
36,46998.0,MD,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30349,Riverdale,Clayton County,0.056044836,1.0,32.6,90.9,58.7,47.3,2.89,77.0,76.0,38.0,68.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,33.2,63.0
37,65990.0,NY,2,2,4,2,1,2,CA,Middle Atlantic,Pacific,Pacific,Los Angeles-Long Beach-Anaheim,CA,90046,Los Angeles,Los Angeles County,0.085316474,0.0,38.8,118.2,26.5,9.0,1.75,2.0,26.0,11.0,40.0,329.0,279.0,283.0,460.0,344.0,59.0,46.0,29.0,58.0
38,102941.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Middle Atlantic,South Atlantic,Washington-Arlington-Alexandria,DC,20009,Washington,District of Columbia,0.007430228,0.0,33.3,108.4,21.9,12.2,1.87,20.0,48.0,0.0,60.0,120.0,324.0,184.0,320.0,286.0,142.0,233.0,28.8,38.0
39,74859.0,TX,2,2,2,2,1,2,PA,South Atlantic,East North Central,West South Central,Dallas-Fort Worth-Arlington,TX,75052,Grand Prairie,Dallas County,0.120967742,0.0,34.9,97.1,56.2,43.0,3.19,28.0,46.0,2.0,25.0,47.0,161.0,46.0,114.0,0.0,17.0,42.0,29.9,27.0
40,49715.0,NC,2,1,1,2,1,1,NY,South Atlantic,South Atlantic,East South Central,Clarksville,TN,37042,Clarksville,Montgomery County,0.083074534,0.0,28.2,100.9,55.5,45.3,2.79,44.0,81.0,50.0,27.0,0.0,103.0,159.0,101.0,68.0,8.0,19.0,24.6,58.0
41,103773.0,TX,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77433,Cypress,Harris County,0.027070064,0.0,32.4,103.4,67.7,57.9,3.25,23.0,47.0,9.0,22.0,41.0,781.0,97.0,442.0,13.0,58.0,118.0,38.7,0.0
42,70974.0,NE,2,2,2,1,1,1,IL,West North Central,East North Central,West South Central,Oklahoma City,OK,73099,Yukon,Canadian County,0.032817337,0.0,35.4,95.1,63.7,43.8,2.98,35.0,57.0,12.0,39.0,6.0,1004.0,58.0,94.0,90.0,13.0,169.0,23.7,57.0
43,49962.0,NY,2,1,1,2,1,1,NY,Middle Atlantic,East North Central,Middle Atlantic,New York-Newark-Jersey City,NY,10462,New York,Bronx County,0.146394756,4.0,35.8,86.1,51.3,33.4,2.66,32.0,55.0,8.0,40.0,6.0,0.0,27.0,79.0,38.0,13.0,0.0,46.9,6.0
44,34122.0,NY,2,1,2,2,0,1,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11206,New York,Kings County,0.103679428,4.0,29.2,95.6,61.0,44.7,2.86,29.0,59.0,32.0,46.0,204.0,290.0,127.0,121.0,149.0,37.0,277.0,37.9,66.0
45,103092.0,TX,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77429,Cypress,Harris County,0.035080479,1.0,34.7,89.7,64.7,51.4,3.12,17.0,50.0,3.0,32.0,78.0,1175.0,243.0,382.0,0.0,251.0,153.0,34.2,130.0
46,104441.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10003,New York,New York County,-0.031537767,8.0,32.6,97.4,22.7,8.5,1.68,10.0,37.0,15.0,70.0,193.0,259.0,82.0,578.0,345.0,109.0,118.0,25.5,60.0
47,135952.0,TX,2,4,4,2,2,2,NJ,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77479,Sugar Land,Fort Bend County,0.00461831,1.0,39.1,94.7,63.6,45.7,3.24,0.0,47.0,0.0,33.0,198.0,919.0,201.0,239.0,38.0,24.0,55.0,32.0,19.0
48,57334.0,MD,2,2,1,2,1,1,FL,South Atlantic,East North Central,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30044,Lawrenceville,Gwinnett County,0.102209945,0.0,33.0,96.0,57.7,45.7,3.25,23.0,49.0,15.0,30.0,0.0,109.0,56.0,85.0,162.0,29.0,63.0,33.4,128.0
49,77741.0,MI,2,3,2,2,2,2,IL,Pacific,East North Central,West North Central,St. Louis,MO,63376,Saint Peters,Saint Charles County,0.07071765299999999,0.0,39.3,94.0,58.1,36.6,2.63,36.0,55.0,6.0,18.0,5.0,405.0,295.0,293.0,57.0,102.0,231.0,24.8,28.0
50,79565.0,NY,2,3,2,2,2,2,IL,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60613,Chicago,Cook County,-0.053239785,0.0,32.2,100.0,26.1,15.2,1.91,7.0,40.0,0.0,50.0,50.0,415.0,383.0,963.0,395.0,107.0,176.0,35.9,4.0
51,58881.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10463,New York,Bronx County,0.069672131,0.0,38.8,89.9,64.7,34.5,2.47,51.0,70.0,0.0,57.0,4.0,107.0,33.0,671.0,81.0,51.0,32.0,45.5,30.0
52,72728.0,MD,2,2,2,2,1,1,PA,South Atlantic,East North Central,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30043,Lawrenceville,Gwinnett County,0.059397163,0.0,36.3,95.3,52.4,38.7,3.15,31.0,50.0,26.0,30.0,64.0,142.0,186.0,390.0,54.0,63.0,40.0,31.9,124.0
53,25677.0,NY,2,1,1,2,0,1,CA,Middle Atlantic,South Atlantic,Middle Atlantic,New York-Newark-Jersey City,NY,11212,New York,Kings County,0.072368421,1.0,35.1,74.7,56.2,37.4,2.43,39.0,49.0,7.0,18.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,48.5,9.0
54,46013.0,NY,2,1,2,2,0,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11230,New York,Kings County,0.119184891,5.0,33.5,94.1,75.4,49.1,2.91,14.0,77.0,18.0,51.0,30.0,115.0,20.0,198.0,154.0,65.0,6.0,39.1,64.0
55,63106.0,NY,2,2,2,2,1,1,CA,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60625,Chicago,Cook County,-0.010427178,2.0,34.2,99.9,41.5,28.1,2.66,17.0,60.0,4.0,50.0,32.0,505.0,208.0,953.0,206.0,200.0,147.0,36.9,94.0
56,69578.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11209,New York,Kings County,0.02814739,1.0,40.5,90.1,53.9,28.2,2.32,16.0,53.0,13.0,41.0,62.0,87.0,112.0,3262.0,162.0,99.0,36.0,44.8,83.0
57,41856.0,IL,2,1,1,2,0,1,FL,East North Central,South Atlantic,East North Central,Chicago-Naperville-Elgin,IL,60629,Chicago,Cook County,0.045232274,2.0,30.6,96.1,61.6,48.0,3.65,43.0,45.0,23.0,18.0,14.0,233.0,48.0,140.0,545.0,121.0,0.0,35.9,44.0
58,101490.0,CA,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,South Atlantic,Charlotte-Concord-Gastonia,NC,28277,Charlotte,Mecklenburg County,0.032342657000000004,3.0,38.0,89.2,58.4,42.9,2.71,17.0,40.0,0.0,26.0,28.0,266.0,180.0,366.0,152.0,142.0,207.0,28.5,19.0
59,127523.0,NY,2,4,4,2,2,2,NJ,Middle Atlantic,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NJ,7030,Hoboken,Hudson County,-0.082646756,3.0,31.8,101.4,24.8,16.9,2.13,3.0,46.0,0.0,60.0,144.0,96.0,190.0,610.0,347.0,153.0,190.0,39.4,32.0
60,63269.0,FL,2,2,2,1,1,1,IL,South Atlantic,East North Central,West South Central,San Antonio-New Braunfels,TX,78245,San Antonio,Bexar County,0.058014354,1.0,29.3,92.5,62.6,51.4,3.48,34.0,74.0,4.0,32.0,0.0,14.0,31.0,8.0,57.0,45.0,12.0,30.2,43.0
61,49887.0,MD,2,1,1,2,1,1,CA,South Atlantic,East North Central,West South Central,Dallas-Fort Worth-Arlington,TX,75287,Dallas,Dallas County,0.029606299,0.0,32.0,84.2,34.6,26.8,1.97,33.0,60.0,7.0,34.0,31.0,307.0,148.0,152.0,59.0,32.0,45.0,24.9,19.0
62,66262.0,TX,2,2,2,2,1,2,CA,Pacific,Pacific,West South Central,Austin-Round Rock,TX,78704,Austin,Travis County,0.103211472,3.0,32.6,108.0,27.7,18.7,1.97,17.0,50.0,69.0,31.0,69.0,783.0,133.0,146.0,80.0,44.0,250.0,20.8,21.0
63,51763.0,CA,2,2,1,2,1,1,CA,Pacific,East North Central,Mountain,Phoenix-Mesa-Scottsdale,AZ,85032,Phoenix,Maricopa County,0.08502024300000001,0.0,36.0,97.1,50.8,33.5,2.57,46.0,56.0,14.0,40.0,81.0,246.0,336.0,279.0,65.0,79.0,163.0,23.0,101.0
64,81576.0,NY,2,3,2,2,2,2,FL,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60610,Chicago,Cook County,-0.009950249,2.0,33.7,83.9,34.0,12.7,1.62,16.0,30.0,0.0,82.0,56.0,315.0,139.0,314.0,262.0,28.0,53.0,28.4,0.0
65,47170.0,NY,2,1,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11221,New York,Kings County,0.044585291,0.0,31.5,92.5,46.5,31.7,2.8,25.0,37.0,27.0,26.0,40.0,87.0,33.0,22.0,67.0,67.0,91.0,43.3,0.0
66,50070.0,CA,2,2,1,2,1,1,CA,Pacific,East North Central,South Atlantic,Miami-Fort Lauderdale-West Palm Beach,FL,33160,Sunny Isles Beach,Miami-Dade County,0.011872959,0.0,49.1,95.5,65.1,23.2,2.11,5.0,36.0,0.0,31.0,36.0,7.0,25.0,104.0,100.0,32.0,59.0,31.6,95.0
67,74002.0,NC,2,2,2,2,1,2,PA,South Atlantic,East North Central,South Atlantic,Virginia Beach-Norfolk-Newport News,VA,23464,Virginia Beach,Virginia Beach City,0.032089852,1.0,36.2,94.1,57.5,36.8,2.77,36.0,60.0,13.0,32.0,18.0,178.0,236.0,534.0,120.0,128.0,123.0,24.3,50.0
68,66587.0,MD,2,2,2,2,1,1,CA,Pacific,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77077,Houston,Harris County,-0.004901961,2.0,34.8,90.5,49.8,31.3,2.17,11.0,51.0,0.0,21.0,278.0,537.0,119.0,335.0,53.0,26.0,125.0,27.7,136.0
69,50771.0,FL,2,2,1,2,1,1,FL,South Atlantic,East North Central,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30096,Duluth,Gwinnett County,0.093475243,3.0,34.7,88.3,51.3,38.2,2.67,28.0,50.0,0.0,22.0,23.0,238.0,37.0,148.0,130.0,78.0,28.0,30.2,93.0
70,61748.0,MI,2,2,2,2,1,1,FL,East North Central,East North Central,South Atlantic,Baltimore-Columbia-Towson,MD,21234,Parkville,Baltimore County,0.061399094,1.0,40.1,87.0,61.7,32.8,2.39,25.0,46.0,19.0,31.0,52.0,433.0,99.0,418.0,151.0,79.0,79.0,29.6,69.0
71,38640.0,MD,2,1,1,2,0,1,FL,South Atlantic,South Atlantic,West South Central,Dallas-Fort Worth-Arlington,TX,75243,Dallas,Dallas County,0.1179941,3.0,31.2,99.0,49.3,38.1,2.46,55.0,84.0,39.0,36.0,7.0,382.0,15.0,71.0,16.0,0.0,52.0,26.8,27.0
72,117303.0,TX,2,4,4,2,2,2,CA,Pacific,Pacific,Pacific,Seattle-Tacoma-Bellevue,WA,98052,Redmond,King County,-0.01664272,4.0,34.8,104.4,48.7,33.7,2.49,14.0,55.0,0.0,32.0,262.0,342.0,435.0,444.0,61.0,87.0,344.0,23.2,4.0
73,53151.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11214,New York,Kings County,0.034290739,0.0,39.5,95.9,57.4,32.0,2.92,17.0,54.0,10.0,43.0,8.0,19.0,21.0,203.0,170.0,101.0,36.0,48.6,53.0
74,28935.0,CA,1,1,1,1,0,1,TX,South Atlantic,South Atlantic,West South Central,Brownsville-Harlingen,TX,78521,Brownsville,Cameron County,0.079710145,1.0,28.8,92.8,80.6,59.7,3.68,45.0,64.0,64.0,28.0,0.0,26.0,18.0,37.0,9.0,0.0,9.0,20.7,86.0
75,81626.0,CA,2,3,2,2,2,2,CA,Pacific,Pacific,Pacific,San Francisco-Oakland-Hayward,CA,94501,Alameda,Alameda County,-0.020205066,1.0,40.5,95.6,51.3,29.3,2.46,9.0,40.0,0.0,33.0,73.0,159.0,415.0,285.0,218.0,48.0,250.0,32.4,65.0
76,99693.0,TX,2,3,4,2,2,2,IL,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77379,Spring,Harris County,0.045211673,0.0,38.5,98.9,63.5,43.6,2.97,9.0,55.0,0.0,39.0,84.0,743.0,156.0,204.0,169.0,24.0,107.0,33.8,92.0
77,45321.0,NY,2,1,1,2,0,1,CA,East North Central,East North Central,Middle Atlantic,New York-Newark-Jersey City,NJ,8701,Lakewood,Ocean County,0.022311745,0.0,20.6,98.6,133.8,109.8,4.1,24.0,162.0,5.0,109.0,30.0,180.0,49.0,167.0,1184.0,60.0,92.0,23.0,12.0
78,99063.0,NY,2,3,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10019,New York,New York County,-0.054824909000000005,18.0,39.6,108.1,29.0,8.4,1.68,12.0,29.0,8.0,30.0,266.0,137.0,126.0,257.0,28.0,71.0,234.0,27.1,0.0
79,38100.0,CA,2,1,1,2,0,1,FL,Pacific,South Atlantic,West South Central,Austin-Round Rock,TX,78666,San Marcos,Hays County,0.05586311,0.0,25.1,98.7,32.3,21.1,2.48,15.0,27.0,9.0,29.0,0.0,595.0,74.0,222.0,48.0,0.0,25.0,22.5,96.0
80,103533.0,CA,2,4,4,2,2,2,IL,Pacific,Middle Atlantic,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30024,Suwanee,Gwinnett County,0.04820333,0.0,37.9,94.8,63.0,50.1,3.26,9.0,43.0,0.0,34.0,7.0,175.0,179.0,206.0,152.0,15.0,294.0,34.9,64.0
81,59287.0,NY,2,2,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11229,New York,Kings County,0.042725798,0.0,40.5,91.9,63.2,34.9,2.75,29.0,61.0,6.0,34.0,29.0,33.0,42.0,548.0,149.0,23.0,28.0,45.8,23.0
82,67548.0,TX,2,2,2,2,1,1,CA,Pacific,East North Central,South Atlantic,Miami-Fort Lauderdale-West Palm Beach,FL,33411,Royal Palm Beach,Palm Beach County,0.05010661,0.0,41.5,91.9,65.4,35.9,2.92,41.0,61.0,5.0,26.0,0.0,147.0,61.0,91.0,221.0,138.0,147.0,27.7,61.0
