,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
9420,49743.0,TX,2,1,1,1,1,1,FL,West South Central,East North Central,Mountain,Las Cruces,NM,88008,Santa Teresa,Dona Ana County,0.076923077,0.0,30.0,110.9,76.6,58.4,3.01,30.0,76.0,0.0,88.0,0.0,0.0,84.0,18.0,0.0,0.0,16.0,24.4,30.0
9421,74384.0,TX,2,2,2,1,1,2,PA,East North Central,East North Central,West South Central,Dallas-Fort Worth-Arlington,TX,76060,Kennedale,Tarrant County,0.070306038,0.0,39.3,103.6,66.6,44.4,2.92,18.0,33.0,0.0,18.0,0.0,48.0,176.0,9.0,0.0,0.0,13.0,26.5,0.0
9422,53342.0,TX,2,2,1,1,1,1,FL,West South Central,East North Central,Pacific,,CA,95932,Colusa,Colusa County,0.08800773699999999,0.0,35.3,109.1,78.1,51.1,2.76,62.0,85.0,37.0,36.0,16.0,8.0,17.0,50.0,0.0,9.0,9.0,24.2,13.0
9423,37097.0,NY,2,1,1,1,0,1,TN,West South Central,South Atlantic,East South Central,Nashville-Davidson--Murfreesboro--Franklin,TN,37033,Centerville,Hickman County,0.17476851899999998,0.0,47.3,96.6,71.1,34.9,2.34,112.0,89.0,0.0,11.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,31.0,6.0
9424,56114.0,PA,2,2,1,1,1,1,OH,East North Central,East North Central,Middle Atlantic,Buffalo-Cheektowaga-Niagara Falls,NY,14141,Concord,Erie County,-0.004192872,0.0,44.9,96.2,71.6,38.5,2.3,28.0,64.0,0.0,17.0,0.0,18.0,20.0,0.0,0.0,0.0,43.0,21.7,9.0
9425,42374.0,IN,2,1,1,1,0,1,PA,East North Central,South Atlantic,East South Central,Jackson,MS,39191,Wesson,Copiah County,0.128556375,0.0,36.1,101.4,63.5,39.2,2.79,0.0,8.0,0.0,5.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,28.4,11.0
9426,52351.0,TX,2,2,1,1,1,1,NY,West South Central,East North Central,East North Central,,IN,47553,Loogootee,Martin County,0.153233831,0.0,36.7,118.2,73.1,48.4,2.61,66.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,27.0,0.0
9427,48435.0,PA,2,1,1,1,1,1,PA,East North Central,South Atlantic,East North Central,,OH,43543,Montpelier,Williams County,0.081471748,0.0,42.6,93.0,72.4,40.3,2.4,39.0,36.0,0.0,7.0,0.0,12.0,38.0,10.0,0.0,43.0,32.0,20.2,15.0
9428,78146.0,NY,4,3,2,1,2,2,FL,Middle Atlantic,East North Central,Middle Atlantic,Philadelphia-Camden-Wilmington,PA,19095,Abington,Montgomery County,0.040013918,0.0,42.8,89.6,65.7,30.4,2.34,36.0,43.0,0.0,14.0,0.0,17.0,5.0,0.0,32.0,77.0,0.0,30.0,18.0
9429,103911.0,NY,4,4,4,1,2,2,IL,Middle Atlantic,Middle Atlantic,West North Central,St. Louis,MO,63040,Wildwood,Saint Louis County,0.021684475,0.0,40.1,97.7,66.4,47.3,2.7,0.0,54.0,0.0,32.0,0.0,3.0,40.0,133.0,0.0,64.0,20.0,28.2,0.0
