,rsquared,maxcoef,inter,mse,mae,count,mean,std,min,25%,50%,75%,max
1,0.3337,17069.5776,-57318.458,18422.4474,13258.435,13056.0,60678.4912509862,22799.47178161631,13087.0,45591.5,55610.0,70154.5,243214.0
2,0.5545,1929.9628,-52368.7077,21028.5003,15379.8936,2533.0,82641.93535393805,30228.805189396113,15309.0,60790.0,78151.0,99098.0,244671.0
