,rsquared,maxcoef,inter,mse,mae,count,mean,std,min,25%,50%,75%,max
East North Central,0.3084,23705.4872,-28952.9698,13562.1966,10328.3832,5442.0,58803.55173010859,16362.885699233942,17700.0,47449.0,56667.0,68305.25,203952.0
Middle Atlantic,0.3227,16043.5289,-23034.9445,27075.3934,19819.7072,2018.0,103303.50012766372,30505.234299213942,20431.0,83383.75,100034.0,118587.0,244671.0
Pacific,0.5421,4119.0282,-47288.2836,16394.4057,12322.9368,1204.0,81708.01744186046,25328.708052783462,31617.0,63935.75,78864.5,96312.0,207127.0
South Atlantic,0.4466,7156.7822,-22608.6918,11488.3114,9004.5432,4020.0,54317.884577114426,15353.98777595403,15309.0,43172.75,51730.0,63360.0,167083.0
West North Central,0.668,13567.9979,-37822.8685,11535.8294,8705.9548,451.0,66802.76053215077,17691.773525200137,32639.0,53293.5,64478.0,76717.5,131004.0
West South Central,0.2357,6123.6597,-33161.3788,12705.8738,9788.4786,2454.0,51431.38478057257,14566.477585896526,13087.0,41174.25,50035.5,59449.0,126065.0
