,rsquared,maxcoef,inter,mse,mae,count,mean,std,min,25%,50%,75%,max
1,0.4315,5776.4783,-19195.7582,11011.6101,8624.6655,3883.0,51627.609065155804,14217.092952670528,15283.0,41313.0,49579.0,60175.5,106587.0
2,0.3751,15595.1,-26352.1564,14810.7943,11396.413,9340.0,60618.960681667624,19558.37136352657,13087.0,47426.75,57044.0,70115.5,207127.0
4,0.3747,18708.8193,-36435.8512,24145.0506,17491.8575,2366.0,99281.19410719584,29945.900683023312,30357.0,78961.25,94444.0,113674.0,244671.0
