,score
Nearest Neighbors,0.790891597177678
Linear SVM,0.8216805644644003
RBF SVM,0.43681847338037205
Gaussian Process,0.0009621552277100705
Decision Tree,1.0
Random Forest,0.5862732520846696
Neural Net,0.6488133418858243
AdaBoost,0.7491982039769083
Naive Bayes,0.4833226427196921
QDA,0.995830660679923
